Change Physical Footprint: Designator=ANT1 Old Footprint=ANT3216_2.4GHz New Footprint=ANT3216_2.4GHz
Change Physical Footprint: Designator=C1 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C2 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C3 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C4 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C5 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C6 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C7 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C8 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C9 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C10 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C11 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C12 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C13 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C14 Old Footprint=CAPC0201X03N New Footprint=CAPC0201X03N
Change Physical Footprint: Designator=C15 Old Footprint=CAPC0201X03N New Footprint=CAPC0201X03N
Change Physical Footprint: Designator=C16 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C17 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C18 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C19 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C20 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
