Altium Designer Pick and Place Locations
C:\Users\kavin\Desktop\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Driver\Project Outputs for Free Documents\Pick Place\Pick Place for PCB(Fabrication Variant).txt

========================================================================================================================
File Design Information:

Date:       16/09/26
Time:       18:59
Revision:   001faec4ccd30f65ce1fd190df22033bef97a918
Variant:    Fabrication Variant
Units used: mil

Designator Comment              Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                              
ANT1       ANT3216_2.45GHz      TopLayer ANT3216_2.4GHz               250.000       1377.992      180      "C293767, ANT3216LL00R2400A, -40?~+105? 1.2mm 1.6mm 160MHz 1W 2.45GHz 3.2mm 5.05dBi 50O 1206 Antennas ROHS"                                                                                                                                                                              
X1         32MHz                TopLayer CRYOSC_3.2X2.5M              735.221       1174.890      180      "C20617581, XL2MI-111-32M, -40?~+85? 10pF 32MHz 40O Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS"                                                                                                                                                                           
U12        TPA3138D2PWPR        TopLayer SOP65P640X120-29N            4951.772      1617.126      0        "C475506, TPA3138D2PWPR, -10?~+85? -70dB 0.04% 102dB 10W×2@6O?18.5W×1@4O 2-Channel 20mA 3.5V~14.4V Automatic mute/no-noise switch?Overvoltage protection?Digital programmable gain Class D TSSOP-28-EP Audio Amplifiers ROHS"                                                            
U11        TPA3138D2PWPR        TopLayer SOP65P640X120-29N            3680.118      1055.118      0        "C475506, TPA3138D2PWPR, -10?~+85? -70dB 0.04% 102dB 10W×2@6O?18.5W×1@4O 2-Channel 20mA 3.5V~14.4V Automatic mute/no-noise switch?Overvoltage protection?Digital programmable gain Class D TSSOP-28-EP Audio Amplifiers ROHS"                                                            
U10        RC4580IDR            TopLayer SOIC127P600X175-8N           3635.315      1925.000      0        "C80100, RC4580IDR, -16V~-2V?2V~16V -40?~+85? 0.0005% 110dB 2-Channel 9mA SOIC-8 Audio Amplifiers ROHS"                                                                                                                                                                                  
U9         RC4580IDR            TopLayer SOIC127P600X175-8N           4091.535      1926.181      0        "C80100, RC4580IDR, -16V~-2V?2V~16V -40?~+85? 0.0005% 110dB 2-Channel 9mA SOIC-8 Audio Amplifiers ROHS"                                                                                                                                                                                  
U8         TPS7A2033PDBVR       TopLayer SOT95P280X145-5N             1464.000      799.000       90       "C2862740, TPS7A2033PDBVR, -40?~+125?@(Tj) 1 10uVrms 140mV@(300mA) 3.3V 300mA 65dB@(100kHz) 6V 8.5uA Fixed Over Current Protection?Enable Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"                                                             
U7         TLV75533PDBVR        TopLayer SOT95P280X145-5N             1070.213      769.402       180      "C404027, TLV75533PDBVR, -40?~+125?@(Tj) 1 238mV@(500mA) 25uA 3.3V 46dB@(100kHz) 5.5V 500mA 71.5uVrms Fixed Over Current Protection?Thermal Shutdown?Input undervoltage protection Positive SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"                    
U6         TPS54202DDCR         TopLayer TPS54202DDCR                 1683.898      284.764       180      "C191884, TPS54202DDCR, -40?~+125?@(TJ) 1 2A 4.5V~28V 45uA 500kHz Adjustable Buck Buck Built-in Yes SOT-23-6 DC-DC Converters ROHS"                                                                                                                                                      
U5         TPS7A3001DGNR        TopLayer SOP65P490X110-9N             2757.874      736.221       270      "C33835, TPS7A3001DGNR, -40?~+125?@(Tj) 1 1.18V~33V 15.1uVrms 200mA 216mV@(100mA) 36V 55uA 72dB@(120Hz) Adjustable Negative Over Current Protection?Enable?Thermal Shutdown HVSSOP-8 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"                                    
